Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-09-05,07:07:33.811,1.8504551917430945e-06,-57.327213287353516,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:07:33.811Z,,,,,
2025-09-05,07:08:59.563,1.845232191044488e-06,-57.3394889831543,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:08:59.563Z,,,,,
2025-09-05,07:10:25.316,1.841141852310102e-06,-57.34912872314453,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:10:25.316Z,,,,,
2025-09-05,07:11:51.068,1.8394815697320155e-06,-57.35304641723633,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:11:51.068Z,,,,,
2025-09-05,07:13:16.821,1.8440595113133895e-06,-57.34225082397461,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:13:16.821Z,,,,,
2025-09-05,07:14:42.573,1.839631636357808e-06,-57.352691650390625,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:14:42.573Z,,,,,
2025-09-05,07:16:08.325,1.8443674889567774e-06,-57.34152603149414,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:16:08.325Z,,,,,
2025-09-05,07:17:34.078,1.8455990584698156e-06,-57.338626861572266,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:17:34.078Z,,,,,
2025-09-05,07:18:59.832,1.8427290342515334e-06,-57.34538650512695,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:18:59.832Z,,,,,
2025-09-05,07:20:25.582,1.8429307147016516e-06,-57.34490966796875,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:20:25.582Z,,,,,
2025-09-05,07:21:51.335,1.8405473838356556e-06,-57.350528717041016,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:21:51.335Z,,,,,
2025-09-05,07:23:17.087,1.839904030020989e-06,-57.352046966552734,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:23:17.087Z,,,,,
2025-09-05,07:24:42.840,1.8439296809447114e-06,-57.34255599975586,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:24:42.840Z,,,,,
2025-09-05,07:26:08.592,1.8437179960528738e-06,-57.343055725097656,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:26:08.592Z,,,,,
2025-09-05,07:27:34.344,1.8473720047040842e-06,-57.33445739746094,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:27:34.344Z,,,,,
2025-09-05,07:29:00.097,1.8474613625585334e-06,-57.33424758911133,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:29:00.097Z,,,,,
2025-09-05,07:30:25.849,1.8407311017654138e-06,-57.35009765625,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:30:25.849Z,,,,,
2025-09-05,07:31:51.602,1.834917270571168e-06,-57.363834381103516,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:31:51.602Z,,,,,
2025-09-05,07:33:17.354,1.8311018266103929e-06,-57.37287521362305,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:33:17.354Z,,,,,
2025-09-05,07:34:43.106,1.8320497474633157e-06,-57.370628356933594,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:34:43.106Z,,,,,
2025-09-05,07:36:08.859,1.831271219998598e-06,-57.372474670410156,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:36:08.859Z,,,,,
2025-09-05,07:37:34.611,1.8293303583050147e-06,-57.377079010009766,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:37:34.611Z,,,,,
2025-09-05,07:39:00.364,1.8289465515408665e-06,-57.37799072265625,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:39:00.364Z,,,,,
2025-09-05,07:40:26.116,1.8219611774838995e-06,-57.39460754394531,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:40:26.116Z,,,,,
2025-09-05,07:41:51.868,1.8165433175454382e-06,-57.40754318237305,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:41:51.868Z,,,,,
2025-09-05,07:43:17.621,1.8161332491217763e-06,-57.40852355957031,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:43:17.621Z,,,,,
2025-09-05,07:44:43.373,1.8085139572576736e-06,-57.426780700683594,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:44:43.373Z,,,,,
2025-09-05,07:46:09.126,1.7995841972151538e-06,-57.44827651977539,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:46:09.126Z,,,,,
2025-09-05,07:47:34.878,1.7978128425966133e-06,-57.45255661010742,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:47:34.878Z,,,,,
2025-09-05,07:49:00.630,1.799539631974767e-06,-57.448387145996094,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:49:00.630Z,,,,,
2025-09-05,07:50:26.383,1.7978022697207052e-06,-57.452579498291016,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:50:26.383Z,,,,,
2025-09-05,07:51:52.135,1.791571662579372e-06,-57.46765899658203,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:51:52.135Z,,,,,
2025-09-05,07:53:17.888,1.8150115010939771e-06,-57.41120529174805,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:53:17.888Z,,,,,
2025-09-05,07:54:43.640,1.814840061342693e-06,-57.411617279052734,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:54:43.640Z,,,,,
2025-09-05,07:56:09.392,1.8141081454814412e-06,-57.413368225097656,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:56:09.392Z,,,,,
2025-09-05,07:57:35.144,1.8099763110512868e-06,-57.42327117919922,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:57:35.144Z,,,,,
2025-09-05,07:59:00.897,1.8086282125295838e-06,-57.42650604248047,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T21:59:00.897Z,,,,,
2025-09-05,08:00:26.649,1.8080542076859274e-06,-57.427886962890625,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T22:00:26.649Z,,,,,
2025-09-05,08:01:52.402,1.8102081185134011e-06,-57.42271423339844,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T22:01:52.402Z,,,,,
2025-09-05,08:03:18.159,1.812258688005386e-06,-57.41779708862305,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-04T22:03:18.159Z,,,,,
