Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-09-16,07:49:08.185,4.46713875135174e-06,-53.49970626831055,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:49:08.185Z,,,,,
2025-09-16,07:49:27.125,4.459142473933753e-06,-53.50748825073242,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:49:27.125Z,,,,,
2025-09-16,07:49:46.067,4.459714091353817e-06,-53.50693130493164,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:49:46.067Z,,,,,
2025-09-16,07:50:05.005,4.456097940419568e-06,-53.51045227050781,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:50:05.005Z,,,,,
2025-09-16,07:50:23.949,4.458904186321888e-06,-53.50771713256836,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:50:23.949Z,,,,,
2025-09-16,07:50:42.889,4.450300366443116e-06,-53.51610565185547,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:50:42.889Z,,,,,
2025-09-16,07:51:01.829,4.463736331672408e-06,-53.503013610839844,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:51:01.829Z,,,,,
2025-09-16,07:51:20.769,4.450305823411327e-06,-53.5161018371582,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:51:20.769Z,,,,,
2025-09-16,07:51:39.712,4.455689122551121e-06,-53.5108528137207,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:51:39.712Z,,,,,
2025-09-16,07:51:58.652,4.454684130905662e-06,-53.5118293762207,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:51:58.652Z,,,,,
2025-09-16,07:52:17.592,4.446975708560785e-06,-53.519351959228516,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:52:17.592Z,,,,,
2025-09-16,07:52:36.532,4.445851118362043e-06,-53.520450592041016,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:52:36.532Z,,,,,
2025-09-16,07:52:55.476,4.44828629042604e-06,-53.51807403564453,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:52:55.476Z,,,,,
2025-09-16,07:53:14.416,4.453771452972433e-06,-53.51272201538086,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:53:14.416Z,,,,,
2025-09-16,07:53:33.356,4.446863385965116e-06,-53.51946258544922,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:53:33.356Z,,,,,
2025-09-16,07:53:52.296,4.4523221731651574e-06,-53.51413345336914,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:53:52.296Z,,,,,
2025-09-16,07:54:11.239,4.454246209206758e-06,-53.51225662231445,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:54:11.239Z,,,,,
2025-09-16,07:54:30.180,4.462488959688926e-06,-53.50422668457031,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:54:30.180Z,,,,,
2025-09-16,07:54:49.119,4.448279469215777e-06,-53.5180778503418,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:54:49.119Z,,,,,
2025-09-16,07:55:08.060,4.448658728506416e-06,-53.51770782470703,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:55:08.060Z,,,,,
2025-09-16,07:55:27.003,4.450990672921762e-06,-53.51543426513672,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:55:27.003Z,,,,,
2025-09-16,07:55:45.944,4.453625933820149e-06,-53.51286315917969,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:55:45.944Z,,,,,
2025-09-16,07:56:04.883,4.447053470357787e-06,-53.5192756652832,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:56:04.883Z,,,,,
2025-09-16,07:56:23.823,4.44338729721494e-06,-53.522857666015625,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:56:23.823Z,,,,,
2025-09-16,07:56:42.766,4.4453008740674704e-06,-53.52098846435547,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:56:42.766Z,,,,,
2025-09-16,07:57:01.707,4.4442231228458695e-06,-53.52204132080078,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:57:01.707Z,,,,,
2025-09-16,07:57:20.647,4.447660103323869e-06,-53.51868438720703,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:57:20.647Z,,,,,
2025-09-16,07:57:39.587,4.458840066945413e-06,-53.507781982421875,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:57:39.587Z,,,,,
2025-09-16,07:57:58.530,4.454049758351175e-06,-53.512451171875,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:57:58.530Z,,,,,
2025-09-16,07:58:17.470,4.45498608314665e-06,-53.51153564453125,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:58:17.470Z,,,,,
2025-09-16,07:58:36.410,4.455939688341459e-06,-53.5106086730957,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:58:36.410Z,,,,,
2025-09-16,07:58:55.351,4.46025933342753e-06,-53.50639724731445,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:58:55.351Z,,,,,
2025-09-16,07:59:14.294,4.456166152522201e-06,-53.5103874206543,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:59:14.294Z,,,,,
2025-09-16,07:59:33.234,4.460731815925101e-06,-53.50593948364258,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:59:33.234Z,,,,,
2025-09-16,07:59:52.174,4.460517629922833e-06,-53.50614929199219,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-15T21:59:52.174Z,,,,,
