Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-09-13,12:45:29.702,1.150258071902499e-06,-59.39204788208008,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:45:29.702Z,,,,,
2025-09-13,12:46:55.453,1.151559217760223e-06,-59.38713836669922,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:46:55.453Z,,,,,
2025-09-13,12:48:21.203,1.152349796029739e-06,-59.3841552734375,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:48:21.203Z,,,,,
2025-09-13,12:49:46.954,1.1528693448781269e-06,-59.382198333740234,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:49:46.954Z,,,,,
2025-09-13,12:51:12.705,1.1520459111125092e-06,-59.38530349731445,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:51:12.705Z,,,,,
2025-09-13,12:52:38.455,1.1512915989442263e-06,-59.388145446777344,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:52:38.455Z,,,,,
2025-09-13,12:54:04.206,1.1519906593093765e-06,-59.3855094909668,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:54:04.206Z,,,,,
2025-09-13,12:55:29.956,1.1504873782541836e-06,-59.39118194580078,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:55:29.956Z,,,,,
2025-09-13,12:56:55.707,1.1503040013849386e-06,-59.39187240600586,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:56:55.707Z,,,,,
2025-09-13,12:58:21.458,1.1493466445244849e-06,-59.39548873901367,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:58:21.458Z,,,,,
2025-09-13,12:59:47.209,1.1484818287499365e-06,-59.39875793457031,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T02:59:47.209Z,,,,,
2025-09-13,13:01:12.961,1.1492221574371797e-06,-59.39596176147461,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:01:12.961Z,,,,,
2025-09-13,13:02:38.713,1.1492911653476767e-06,-59.39569854736328,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:02:38.713Z,,,,,
2025-09-13,13:04:04.464,1.1470806384750176e-06,-59.40406036376953,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:04:04.464Z,,,,,
2025-09-13,13:05:30.215,1.1467485592220328e-06,-59.40531921386719,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:05:30.215Z,,,,,
2025-09-13,13:06:55.966,1.148919409388327e-06,-59.3971061706543,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:06:55.966Z,,,,,
2025-09-13,13:08:21.718,1.1481968158477684e-06,-59.399837493896484,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:08:21.718Z,,,,,
2025-09-13,13:09:47.469,1.147260604739131e-06,-59.403377532958984,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:09:47.469Z,,,,,
2025-09-13,13:11:13.220,1.1484995638966211e-06,-59.3986930847168,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:11:13.220Z,,,,,
2025-09-13,13:12:38.971,1.1476723784653586e-06,-59.40182113647461,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:12:38.971Z,,,,,
2025-09-13,13:14:04.722,1.1477222869871184e-06,-59.40163040161133,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:14:04.722Z,,,,,
2025-09-13,13:15:30.473,1.1500995924507151e-06,-59.39264678955078,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:15:30.473Z,,,,,
2025-09-13,13:16:56.228,1.1465285751910415e-06,-59.406150817871094,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:16:56.228Z,,,,,
2025-09-13,13:18:21.979,1.1476653298814199e-06,-59.40184783935547,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:18:21.979Z,,,,,
2025-09-13,13:19:47.730,1.1478539363452e-06,-59.4011344909668,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:19:47.730Z,,,,,
2025-09-13,13:21:13.481,1.1482250101835234e-06,-59.39973068237305,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:21:13.481Z,,,,,
2025-09-13,13:22:39.232,1.1480018429210759e-06,-59.40057373046875,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:22:39.232Z,,,,,
2025-09-13,13:24:04.983,1.1479085060273064e-06,-59.40092849731445,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:24:04.983Z,,,,,
2025-09-13,13:25:30.733,1.1486982884889585e-06,-59.39794158935547,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:25:30.733Z,,,,,
2025-09-13,13:26:56.485,1.1490478755149525e-06,-59.3966178894043,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:26:56.485Z,,,,,
2025-09-13,13:28:22.235,1.1480946113806567e-06,-59.40022277832031,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:28:22.235Z,,,,,
2025-09-13,13:29:47.986,1.1489923963381443e-06,-59.396827697753906,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:29:47.986Z,,,,,
2025-09-13,13:31:13.737,1.150904950009135e-06,-59.38960647583008,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:31:13.737Z,,,,,
2025-09-13,13:32:39.487,1.150979301201005e-06,-59.38932418823242,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:32:39.487Z,,,,,
2025-09-13,13:34:05.237,1.1499863603603444e-06,-59.39307403564453,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:34:05.237Z,,,,,
2025-09-13,13:35:30.987,1.1516393669808167e-06,-59.38683319091797,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:35:30.987Z,,,,,
2025-09-13,13:36:56.738,1.15174498205306e-06,-59.386436462402344,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:36:56.738Z,,,,,
2025-09-13,13:38:22.489,1.1514221114339307e-06,-59.38765335083008,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:38:22.489Z,,,,,
2025-09-13,13:39:48.238,1.1497303376017953e-06,-59.394039154052734,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:39:48.238Z,,,,,
2025-09-13,13:41:13.989,1.1505919701448875e-06,-59.390785217285156,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:41:13.989Z,,,,,
2025-09-13,13:42:39.739,1.1514077868923778e-06,-59.3877067565918,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:42:39.739Z,,,,,
2025-09-13,13:44:05.490,1.1514067637108383e-06,-59.38771057128906,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:44:05.490Z,,,,,
2025-09-13,13:45:31.240,1.1500593473101617e-06,-59.39279556274414,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:45:31.240Z,,,,,
2025-09-13,13:46:56.990,1.1508401485116337e-06,-59.38985061645508,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:46:56.990Z,,,,,
2025-09-13,13:48:22.741,1.1521609621922835e-06,-59.38486862182617,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:48:22.741Z,,,,,
2025-09-13,13:49:48.492,1.1519274494276033e-06,-59.38574981689453,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:49:48.492Z,,,,,
2025-09-13,13:51:14.242,1.1486215498734964e-06,-59.398231506347656,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:51:14.242Z,,,,,
2025-09-13,13:52:39.993,1.149534455180401e-06,-59.394779205322266,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-13T03:52:39.993Z,,,,,
